distance,x,y,value
1.028056112224449059e+01,4.000000000000000000e+01,1.028056112224449059e+01,9.784735812133078525e-01
1.046092184368737499e+01,4.000000000000000000e+01,1.046092184368737499e+01,9.784735812133078525e-01
1.064128256513026116e+01,4.000000000000000000e+01,1.064128256513026116e+01,9.784735812133078525e-01
1.082164328657314734e+01,4.000000000000000000e+01,1.082164328657314734e+01,9.784735812133078525e-01
1.100200400801603351e+01,4.000000000000000000e+01,1.100200400801603351e+01,9.784735812133078525e-01
1.118236472945891791e+01,4.000000000000000000e+01,1.118236472945891791e+01,9.784735812133078525e-01
1.136272545090180408e+01,4.000000000000000000e+01,1.136272545090180408e+01,9.784735812133077415e-01
1.154308617234469025e+01,4.000000000000000000e+01,1.154308617234469025e+01,9.784735812133078525e-01
1.172344689378757643e+01,4.000000000000000000e+01,1.172344689378757643e+01,9.784735812133078525e-01
1.190380761523046260e+01,4.000000000000000000e+01,1.190380761523046260e+01,4.404503723690065264e+00
1.208416833667334700e+01,4.000000000000000000e+01,1.208416833667334700e+01,8.173999662730544458e+00
1.226452905811623317e+01,4.000000000000000000e+01,1.226452905811623317e+01,1.199667436634521422e+01
1.244488977955911935e+01,4.000000000000000000e+01,1.244488977955911935e+01,1.232074063325609359e+01
1.262525050100200552e+01,4.000000000000000000e+01,1.262525050100200552e+01,1.006153206608915696e+01
1.280561122244488992e+01,4.000000000000000000e+01,1.280561122244488992e+01,5.031981771762759514e+00
1.298597194388777609e+01,4.000000000000000000e+01,1.298597194388777609e+01,9.784735812133078525e-01
1.316633266533066227e+01,4.000000000000000000e+01,1.316633266533066227e+01,9.784735812133078525e-01
1.334669338677354844e+01,4.000000000000000000e+01,1.334669338677354844e+01,9.784735812133078525e-01
1.352705410821643461e+01,4.000000000000000000e+01,1.352705410821643461e+01,9.784735812133078525e-01
1.370741482965931901e+01,4.000000000000000000e+01,1.370741482965931901e+01,9.784735812133078525e-01
1.388777555110220518e+01,4.000000000000000000e+01,1.388777555110220518e+01,9.784735812133077415e-01
1.406813627254509136e+01,4.000000000000000000e+01,1.406813627254509136e+01,9.784735812133078525e-01
1.424849699398797753e+01,4.000000000000000000e+01,1.424849699398797753e+01,9.784735812133079635e-01
1.442885771543086193e+01,4.000000000000000000e+01,1.442885771543086193e+01,9.784735812133078525e-01
1.460921843687374810e+01,4.000000000000000000e+01,1.460921843687374810e+01,9.784735812133078525e-01
1.478957915831663428e+01,4.000000000000000000e+01,1.478957915831663428e+01,9.784735812133078525e-01
1.496993987975952045e+01,4.000000000000000000e+01,1.496993987975952045e+01,9.784735812133078525e-01
1.515030060120240663e+01,4.000000000000000000e+01,1.515030060120240663e+01,9.784735812133078525e-01
1.533066132264529102e+01,4.000000000000000000e+01,1.533066132264529102e+01,9.784735812133077415e-01
1.551102204408817720e+01,4.000000000000000000e+01,1.551102204408817720e+01,9.784735812133077415e-01
1.569138276553106337e+01,4.000000000000000000e+01,1.569138276553106337e+01,9.784735812133078525e-01
1.587174348697394954e+01,4.000000000000000000e+01,1.587174348697394954e+01,9.784735812133078525e-01
1.605210420841683572e+01,4.000000000000000000e+01,1.605210420841683572e+01,9.784735812133078525e-01
1.623246492985972012e+01,4.000000000000000000e+01,1.623246492985972012e+01,9.784735812133079635e-01
1.641282565130260807e+01,4.000000000000000000e+01,1.641282565130260807e+01,9.784735812133078525e-01
1.659318637274549246e+01,4.000000000000000000e+01,1.659318637274549246e+01,2.138053014051613854e+00
1.677354709418837686e+01,4.000000000000000000e+01,1.677354709418837686e+01,7.641453814347583418e+00
1.695390781563126481e+01,4.000000000000000000e+01,1.695390781563126481e+01,1.292884529659459503e+01
1.713426853707414921e+01,4.000000000000000000e+01,1.713426853707414921e+01,1.803356223209631537e+01
